"language","setCode","cardId","defaultVariantId","collectorNumber","variants","approvedFacePresent","beforePreferredBlank","afterPreferredBlank","presentation","sourceVariantId","assetId"
"zh-cn","cs6ac","3538d025-5fb5-4f6b-98c5-26ae26e42751","dae069ce-c595-4cd4-954a-dac63d9bccd4","043","1","true","false","false","exact","dae069ce-c595-4cd4-954a-dac63d9bccd4","df673c30-a2ee-490d-a31d-bf1ecb3680be"
"zh-cn","cs6ac","a68e6568-a259-43b5-995b-4c22cc725bfd","e6c1d242-b7fe-47f8-a8a0-42d06df7c7c4","053","2","true","false","false","exact","e6c1d242-b7fe-47f8-a8a0-42d06df7c7c4","bd209c0d-643f-473e-902c-1e5f480279c7"
"zh-cn","cs6ac","cfc87bb3-4225-480e-b178-88bafb45793d","bb84afc7-5ce1-4780-9bd8-c2e499288e22","060","1","true","false","false","exact","bb84afc7-5ce1-4780-9bd8-c2e499288e22","c9febcb2-cf3d-41f0-b819-69795233c087"
"zh-cn","cs6ac","68b58a0d-dbc9-40e5-bf81-2dee4625fe6f","d7ae0dca-6099-4ae1-9e4b-33de36f87532","067","2","true","false","false","exact","d7ae0dca-6099-4ae1-9e4b-33de36f87532","a96a253d-3b89-4214-aabf-62f6edc2c36d"
"zh-cn","cs6ac","5c7c8d73-901d-4885-ab07-aecfec331817","cd795d92-3bf0-41d8-8ee4-b57a7f6489d3","087","2","true","false","false","exact","cd795d92-3bf0-41d8-8ee4-b57a7f6489d3","83763018-fff7-4293-a56e-49ab824406b0"
"zh-cn","cs6ac","0ed64fed-3340-44db-aed4-54ba376d76b8","cde28b00-c2e3-446c-8536-db7d66767f0d","097","1","true","false","false","exact","cde28b00-c2e3-446c-8536-db7d66767f0d","c0288861-d9a3-4a64-9f9d-856eb766985e"
"zh-cn","cs6ac","f91ea651-08c3-4c4b-b24b-7cfbb6dce15f","cb4fab0a-273b-4225-a4bc-c3b1de852ffb","103","1","true","false","false","exact","cb4fab0a-273b-4225-a4bc-c3b1de852ffb","31e3c76a-4357-45a0-bce7-cf982bea8111"
"zh-cn","cs6ac","017f5cf6-b9cf-4adf-891a-c0d0256c3a45","cdc36805-ce52-4c97-bbd6-0fff3f967cac","104","1","true","false","false","exact","cdc36805-ce52-4c97-bbd6-0fff3f967cac","2bec77ff-794b-4848-903a-1a1c21c4a109"
"zh-cn","cs6ac","2d5594ba-f601-4d58-959a-e9e8b9e17c15","f4ae8723-3359-4fcf-9353-b85e18f7e5fb","111","2","true","false","false","exact","f4ae8723-3359-4fcf-9353-b85e18f7e5fb","5f69f90d-f506-415d-99b3-92e6fed13dd1"
"zh-cn","cs6ac","f92e853f-0d14-4e10-a06d-89a7082d8836","f266b03a-ffd4-4ce2-986c-4a4f773277b9","114","2","true","false","false","exact","f266b03a-ffd4-4ce2-986c-4a4f773277b9","c39b5e63-7a61-41aa-89a0-e03027a9a603"
